id_renabap,nombre_barrio,peligrosidad,fam_expuestas_edificios,fam_expuestas_ghsl,fam_expuestas_areal
2,Malvinas II,baja,3.538827258320127,0.0,1.0018846566069923
3,Ferroviario,baja,33.65423728813559,14.286418558204144,18.936165788397552
3,Ferroviario,media,22.766101694915257,32.93185788162445,12.808608599748021
4,La Favelita,alta,36.258823529411764,0.0,29.808780523555715
4,La Favelita,media,122.96470588235293,134.0000057868011,104.1912194765755
5,Casaca,alta,8.411764705882351,0.5513602683505813,13.675382446096851
5,Casaca,baja,5.176470588235294,21.44863967002464,1.2454370584934835
5,Casaca,media,5.176470588235294,0.0,3.2664622887934462
6,La Güemes,alta,13.0,0.0,11.54674639103531
6,La Güemes,media,2.4375,0.0,1.4532536089359214
7,8 y 489,alta,0.0,0.0,0.7015772180191675
7,8 y 489,media,25.0,25.0,24.298422781968824
8,La Fábrica,baja,16.525821596244132,0.0,7.852107215785744
10,Hijos de Malvinas,baja,6.446721311475409,0.0,2.7818295431951907
10,Hijos de Malvinas,media,0.49590163934426235,0.0,0.011653800972641624
11,514 y 138,baja,12.86096256684492,0.0,9.891252067754886
11,514 y 138,baja,12.86096256684492,1.7230323263379768,9.891252067754886
12,Villa Rica,alta,35.776595744680854,10.858778495077146,34.57274109527962
12,Villa Rica,media,32.638297872340424,48.14122254240873,24.427258904689698
13,El Progreso,alta,56.96,35.737901689646684,45.96193556177077
13,El Progreso,media,16.64,28.262098310353313,18.038064438302044
14,El Rincón I,alta,0.5,0.0,0.28994949248344126
14,El Rincón I,baja,59.5,39.449800761545134,42.3603741680396
14,El Rincón I,media,22.0,24.55019579235435,21.349676339396158
15,La Fortaleza,alta,83.22865013774106,58.028817460055855,82.64641171276779
15,La Fortaleza,baja,2.506887052341598,0.0,2.2436249050160337
15,La Fortaleza,media,133.366391184573,123.97118402190806,97.10996338227848
17,Vieja Estación,baja,4.125,0.0,1.7839096789435842
18,El Triángulo,baja,28.695652173913043,38.662307091866886,22.20036134225058
18,El Triángulo,media,0.0,0.0,1.4784292572192392
21,El Rincón II,alta,25.375,3.0007061670793753,26.878728974438847
21,El Rincón II,baja,55.125,87.45413987168135,38.6158583205945
21,El Rincón II,media,43.75000000000001,42.85706479511647,44.13337471353913
22,Colinas del Sol,baja,65.77651515151516,101.61376846392523,45.96518323769764
22,Colinas del Sol,media,32.03030303030303,0.0,28.921730878378778
23,Malvinas Argentinas,baja,16.081218274111674,34.31081149646904,11.457004323657964
24,La Banda,alta,48.70544090056285,80.57251965581516,35.84274305856327
24,La Banda,baja,99.8874296435272,86.87160474959816,90.58398243923986
24,La Banda,media,92.45778611632271,41.472084239597635,75.79110943726583
28,El Rincón III,alta,80.44700460829493,42.484822174561394,54.42632599526597
28,El Rincón III,baja,27.398617511520737,3.934463859631749,21.056035399620274
28,El Rincón III,media,183.04608294930875,206.5807123967472,177.5176386051071
31,Villa Las Rosas,alta,31.30434782608696,35.37439121141071,36.15207349875655
31,Villa Las Rosas,baja,75.65217391304348,26.71237324432539,56.794688342739356
31,Villa Las Rosas,media,121.73913043478261,59.33936467853995,79.55146448328858
35,San Cayetano,baja,142.37969924812032,124.72463533799265,136.02495812151946
35,San Cayetano,media,63.229323308270686,73.78185621119852,51.0554199743787
36,166 y 523,baja,36.99152542372882,33.842749400875086,30.612010374110064
36,166 y 523,media,3.4322033898305087,0.0,3.7307142902994612
38,Las Casuarinas,alta,32.35531135531136,30.649401235457454,36.40572949438899
38,Las Casuarinas,baja,38.560439560439555,48.830347285044304,21.681399701554454
38,Las Casuarinas,media,58.94871794871795,39.19083418412508,41.560724934320035
39,La Esperanza,baja,1.4627659574468086,9.981037814163457,2.278712621991059
39,La Esperanza,media,3.2180851063829787,0.0,1.934226263674433
41,Los Rosales,baja,39.16216216216216,8.92436885065215,25.19700963858748
41,Los Rosales,media,56.45454545454545,48.92038043436541,56.10349530824951
42,Las Palmeras,alta,256.9685230024213,238.9011639038348,236.9352541327763
42,Las Palmeras,baja,133.24293785310735,102.99942352021307,99.70387908320829
42,Las Palmeras,media,249.83050847457625,220.03281111867597,190.934448841288
43,Sin Nombre,baja,5.925925925925926,0.0,1.343828800246626
44,El Triunfo,baja,50.46070460704607,44.16099257005439,43.25952602382158
46,Sin Nombre,alta,73.63961813842482,51.64665475605032,76.2470578726465
46,Sin Nombre,baja,68.52028639618139,28.28296771077376,61.113030940403675
46,Sin Nombre,media,76.00238663484487,100.51268299566004,68.98321367240317
47,155 y 46,alta,20.806451612903228,0.0,14.807197646378919
47,155 y 46,baja,4.161290322580645,0.0,5.5677891810816496
47,155 y 46,media,30.053763440860216,43.000000623834296,21.871151421947644
49,Sin Nombre,baja,59.42857142857143,53.23191365579918,43.500869203731376
49,Sin Nombre,media,77.07142857142857,71.99500054358191,69.27226657463308
51,Santa Isabel,baja,0.41711229946524064,0.0,0.12884056840602773
51,Santa Isabel,media,0.8342245989304813,0.0,0.868426207189013
55,El Bajo,baja,2.0412371134020617,0.0,1.3681500231669486
57,Villa Alba,baja,68.11538461538461,27.359053597014857,46.5199249840865
57,Villa Alba,media,0.3642533936651584,0.0,0.1799499270389594
59,Villa Aburridita,alta,0.4145211122554068,0.0,1.6311030695891289
59,Villa Aburridita,baja,379.70133882595263,261.30389155068383,285.8680672051041
59,Villa Aburridita,media,21.140576725025745,21.032785529954545,21.261297463175037
60,Dos de abril,baja,110.97872340425532,67.27532516187298,90.43902585649924
60,Dos de abril,media,18.826747720364743,13.68540274036033,15.223120413475652
